Entity,Code,Year,Death rate in ongoing wars (low estimate) - Conflict type: civil war,Death rate in ongoing wars (low estimate) - Conflict type: others (non-civil)
Americas,,1905,0,0
Americas,,1906,0,0.43445572
Americas,,1907,0,0.60907304
Americas,,1908,0,0
Americas,,1909,0,0
Americas,,1910,0,0
Americas,,1911,0,0
Americas,,1912,0,0
Americas,,1913,0,0
Americas,,1914,0,0
Americas,,1915,0,0
Americas,,1916,0,0
Americas,,1917,0,0
Americas,,1918,0,0
Americas,,1919,0,0
Americas,,1920,0,0
Americas,,1921,0,0
Americas,,1922,0,0
Americas,,1923,0,0
Americas,,1924,0,0
Americas,,1925,0,0
Americas,,1926,0,0
Americas,,1927,0,0
Americas,,1928,0,0
Americas,,1929,0,0
Americas,,1930,0,0
Americas,,1931,0,0
Americas,,1932,0,2.4578261
Americas,,1933,0,2.4280086
Americas,,1934,0,2.398473
Americas,,1935,0,2.3692174
Americas,,1936,0,0
Americas,,1937,0,0
Americas,,1938,0,0
Americas,,1939,0,0
Americas,,1940,0,0
Americas,,1941,0,0.25454047
Americas,,1942,0,0
Americas,,1943,0,0
Americas,,1944,0,0
Americas,,1945,0,0
Americas,,1946,0,0
Americas,,1947,0,0
Americas,,1948,0,0
Americas,,1949,0,0
Americas,,1950,0,0
Americas,,1951,0,0
Americas,,1952,0,0
Americas,,1953,0,0
Americas,,1954,0,0
Americas,,1955,0,0
Americas,,1956,0,0
Americas,,1957,0,0
Americas,,1958,0,0
Americas,,1959,0,0
Americas,,1960,0,0
Americas,,1961,0,0
Americas,,1962,0,0
Americas,,1963,0,0
Americas,,1964,0,0
Americas,,1965,0,0
Americas,,1966,0,0
Americas,,1967,0,0
Americas,,1968,0,0
Americas,,1969,0,0.041641694
Americas,,1970,0,0
Americas,,1971,0,0
Americas,,1972,0,0
Americas,,1973,0,0
Americas,,1974,0,0
Americas,,1975,0,0
Americas,,1976,0,0
Americas,,1977,0,0
Americas,,1978,0,0
Americas,,1979,0,0
Americas,,1980,0,0
Americas,,1981,0,0
Americas,,1982,0,0.15972298
Americas,,1983,0,0
Americas,,1984,0,0
Americas,,1985,0,0
Americas,,1986,0,0
Americas,,1987,0,0
Americas,,1988,0,0
Americas,,1989,0,0
Americas,,1990,0,0
Americas,,1991,0,0
Americas,,1992,0,0
Americas,,1993,0,0
Americas,,1994,0,0
Americas,,1995,0,0
Americas,,1996,0,0
Americas,,1997,0,0
Americas,,1998,0,0
Americas,,1999,0,0
Americas,,2000,0,0
Americas,,2001,0,0
Americas,,2002,0,0
Americas,,2003,0,0
Americas,,2004,0,0
Americas,,2005,0,0
Americas,,2006,0,0
Americas,,2007,0,0
Americas,,2008,0,0
Americas,,2009,0,0
Americas,,2010,0,0
Americas,,2011,0,0
Asia and Oceania,,1816,0,0.06613928
Asia and Oceania,,1817,0,0.17743912
Asia and Oceania,,1818,0,2.2173266
Asia and Oceania,,1819,0,2.3339062
Asia and Oceania,,1820,0,0
Asia and Oceania,,1821,0,0
Asia and Oceania,,1822,0,0.34158292
Asia and Oceania,,1823,0,0.33969834
Asia and Oceania,,1824,0,0.25228402
Asia and Oceania,,1825,0,0.52676666
Asia and Oceania,,1826,0.19376785,0.5238414
Asia and Oceania,,1827,0.19268948,4.1195683
Asia and Oceania,,1828,0,0
Asia and Oceania,,1829,0,0
Asia and Oceania,,1830,0.24878958,0
Asia and Oceania,,1831,0,0
Asia and Oceania,,1832,0,0
Asia and Oceania,,1833,0,0.25181448
Asia and Oceania,,1834,0,0.25124767
Asia and Oceania,,1835,0,0
Asia and Oceania,,1836,0,0.09024707
Asia and Oceania,,1837,0,0.47593775
Asia and Oceania,,1838,0,0.089837395
Asia and Oceania,,1839,0.19528557,0.13983728
Asia and Oceania,,1840,0.19486853,0.13953865
Asia and Oceania,,1841,0.19446504,0.7385846
Asia and Oceania,,1842,0.19407488,0.7371028
Asia and Oceania,,1843,0,1.318416
Asia and Oceania,,1844,0,0.27888685
Asia and Oceania,,1845,0,1.121956
Asia and Oceania,,1846,0,0.84194756
Asia and Oceania,,1847,0,0
Asia and Oceania,,1848,0,0.37477243
Asia and Oceania,,1849,0,0.37434652
Asia and Oceania,,1850,0,0
Asia and Oceania,,1851,0.85296816,0
Asia and Oceania,,1852,0.8544375,0
Asia and Oceania,,1853,0.9592505,0
Asia and Oceania,,1854,0.9616442,0
Asia and Oceania,,1855,0.9639834,0.13269201
Asia and Oceania,,1856,0.9662668,0.21438688
Asia and Oceania,,1857,1.8309476,0.084754296
Asia and Oceania,,1858,1.8350456,0.08494399
Asia and Oceania,,1859,0.972413,0.085097335
Asia and Oceania,,1860,0.97375077,0.085214406
Asia and Oceania,,1861,0.97466457,0
Asia and Oceania,,1862,0.97515863,0
Asia and Oceania,,1863,0.97524315,0
Asia and Oceania,,1864,0.97528535,0.4393212
Asia and Oceania,,1865,0.10434458,0.8149914
Asia and Oceania,,1866,0.10434219,0.33304796
Asia and Oceania,,1867,0.10433552,0.33302665
Asia and Oceania,,1868,0.36096644,0.33299252
Asia and Oceania,,1869,0.25646484,0.17952539
Asia and Oceania,,1870,0,0.35013628
Asia and Oceania,,1871,0,0.34948733
Asia and Oceania,,1872,0,0.19433504
Asia and Oceania,,1873,0.0835264,0.3109674
Asia and Oceania,,1874,0.0832754,0
Asia and Oceania,,1875,0,0.2662531
Asia and Oceania,,1876,0,0.717212
Asia and Oceania,,1877,3.303333,0.45040882
Asia and Oceania,,1878,0,0.29903808
Asia and Oceania,,1879,0,0.29797855
Asia and Oceania,,1880,0,0.29674846
Asia and Oceania,,1881,0,0.29534483
Asia and Oceania,,1882,0,0
Asia and Oceania,,1883,0,0.29436326
Asia and Oceania,,1884,0,0.29261866
Asia and Oceania,,1885,0,0.29085702
Asia and Oceania,,1886,0,0
Asia and Oceania,,1887,0,0
Asia and Oceania,,1888,0,0
Asia and Oceania,,1889,0,0
Asia and Oceania,,1890,0,0
Asia and Oceania,,1891,0,0
Asia and Oceania,,1892,0,0
Asia and Oceania,,1893,0,0
Asia and Oceania,,1894,0,0.16472174
Asia and Oceania,,1895,0,0.98407227
Asia and Oceania,,1896,0,0
Asia and Oceania,,1897,0,0
Asia and Oceania,,1898,0,0.06545105
Asia and Oceania,,1899,0,0
Asia and Oceania,,1900,0,0.2956246
Asia and Oceania,,1901,0,0.17400812
Asia and Oceania,,1902,0,0
Asia and Oceania,,1903,0,0
Asia and Oceania,,1904,0,4.3997025
Asia and Oceania,,1905,0,4.0942736
Asia and Oceania,,1906,0,0
Asia and Oceania,,1907,0,0
Asia and Oceania,,1908,0,0
Asia and Oceania,,1909,0,0
Asia and Oceania,,1910,0,0
Asia and Oceania,,1911,0.18567768,0
Asia and Oceania,,1912,0,0.092131846
Asia and Oceania,,1913,0.20824024,0.09142254
Asia and Oceania,,1914,0,0
Asia and Oceania,,1915,0.25402227,0
Asia and Oceania,,1916,0.25204575,0
Asia and Oceania,,1917,0,0
Asia and Oceania,,1918,0,0.14648195
Asia and Oceania,,1919,0,0.1458951
Asia and Oceania,,1920,0.34604168,0.06526731
Asia and Oceania,,1921,0,0
Asia and Oceania,,1922,1.8944907,0
Asia and Oceania,,1923,0,0
Asia and Oceania,,1924,0.26160008,0
Asia and Oceania,,1925,2.6441772,0
Asia and Oceania,,1926,2.3951924,0
Asia and Oceania,,1927,2.4010952,0
Asia and Oceania,,1928,2.3839571,0
Asia and Oceania,,1929,0,0.28321746
Asia and Oceania,,1930,5.360482,0
Asia and Oceania,,1931,0,2.6554933
Asia and Oceania,,1932,0,3.0472045
Asia and Oceania,,1933,0,0.48343617
Asia and Oceania,,1934,0,0.4783283
Asia and Oceania,,1935,0,0
Asia and Oceania,,1936,0,0
Asia and Oceania,,1937,0,15.593976
Asia and Oceania,,1938,0,15.529655
Asia and Oceania,,1939,0,16.524088
Asia and Oceania,,1940,0,15.167207
Asia and Oceania,,1941,0,45.71465
Asia and Oceania,,1942,0,45.18148
Asia and Oceania,,1943,0,44.52555
Asia and Oceania,,1944,0,44.587242
Asia and Oceania,,1945,0,46.973206
Asia and Oceania,,1946,23.443802,0
Asia and Oceania,,1947,23.317308,0.06474439
Asia and Oceania,,1948,23.182796,0.15717936
Asia and Oceania,,1949,22.977201,0.06380003
Asia and Oceania,,1950,0,10.294083
Asia and Oceania,,1951,0,10.101215
Asia and Oceania,,1952,0,9.896265
Asia and Oceania,,1953,0,9.686107
Asia and Oceania,,1954,0,0.033457417
Asia and Oceania,,1955,0,0.03271505
Asia and Oceania,,1956,0,0
Asia and Oceania,,1957,0,0
Asia and Oceania,,1958,0,0.057355855
Asia and Oceania,,1959,0,0
Asia and Oceania,,1960,0,0
Asia and Oceania,,1961,0,0
Asia and Oceania,,1962,0,0.12521206
Asia and Oceania,,1963,0,0
Asia and Oceania,,1964,0.062301792,0
Asia and Oceania,,1965,0.06078564,6.878091
Asia and Oceania,,1966,0.05935305,6.3500767
Asia and Oceania,,1967,0.057997957,6.2050977
Asia and Oceania,,1968,0.056637347,6.059529
Asia and Oceania,,1969,0.055274684,5.9137397
Asia and Oceania,,1970,0.053965844,5.7737093
Asia and Oceania,,1971,0.61155045,5.6420803
Asia and Oceania,,1972,0.079066925,5.5177584
Asia and Oceania,,1973,0.077338435,5.3971343
Asia and Oceania,,1974,0,0.5842801
Asia and Oceania,,1975,0,0.7921883
Asia and Oceania,,1976,0,0.21534179
Asia and Oceania,,1977,0,0.21142071
Asia and Oceania,,1978,0,0.20762257
Asia and Oceania,,1979,0,1.4270623
Asia and Oceania,,1980,0,0
Asia and Oceania,,1981,0,0
Asia and Oceania,,1982,0,0
Asia and Oceania,,1983,0,0
Asia and Oceania,,1984,0,0
Asia and Oceania,,1985,0,0
Asia and Oceania,,1986,0,0
Asia and Oceania,,1987,0,0.024498591
Asia and Oceania,,1988,0,0
Asia and Oceania,,1989,0,0
Asia and Oceania,,1990,0.030619873,0
Asia and Oceania,,1991,0.030088203,0
Asia and Oceania,,1992,0.02960534,0
Asia and Oceania,,1993,0.029142058,0
Asia and Oceania,,1994,0.061985604,0
Asia and Oceania,,1995,0.06107788,0
Asia and Oceania,,1996,0.110370554,0
Asia and Oceania,,1997,0.07696194,0
Asia and Oceania,,1998,0.075928256,0
Asia and Oceania,,1999,0.074933074,0.03200267
Asia and Oceania,,2000,0.07396408,0
Asia and Oceania,,2001,0.026084984,0.15986207
Asia and Oceania,,2002,0.025755806,0.11150651
Asia and Oceania,,2003,0,0
Asia and Oceania,,2004,0,0
Asia and Oceania,,2005,0,0
Asia and Oceania,,2006,0,0
Asia and Oceania,,2007,0,0
Asia and Oceania,,2008,0.08984915,0
Asia and Oceania,,2009,0.088875696,0
Asia and Oceania,,2010,0,0
Asia and Oceania,,2011,0,0
Europe,,1816,0,0
Europe,,1817,0,0
Europe,,1818,0,0
Europe,,1819,0,0
Europe,,1820,0,0
Europe,,1821,0.4416087,0
Europe,,1822,0.43781155,0
Europe,,1823,0.43424672,0.43424672
Europe,,1824,0.43068066,0
Europe,,1825,0.42710766,0
Europe,,1826,0.42344886,0
Europe,,1827,0.4197932,0
Europe,,1828,0.41614148,0
Europe,,1829,0.41257262,0
Europe,,1830,0,0
Europe,,1831,15.377672,0
Europe,,1832,0,0
Europe,,1833,0,0
Europe,,1834,0,0
Europe,,1835,0,0
Europe,,1836,0,0
Europe,,1837,0,0
Europe,,1838,0,0
Europe,,1839,0,0
Europe,,1840,0,0
Europe,,1841,0,0
Europe,,1842,0,0
Europe,,1843,0,0
Europe,,1844,0,0
Europe,,1845,0,0
Europe,,1846,0,0
Europe,,1847,0,0
Europe,,1848,2.8817732,3.2902646
Europe,,1849,4.764347,0.42387938
Europe,,1850,0,0.41243953
Europe,,1851,0,0
Europe,,1852,0.9134474,0
Europe,,1853,0.907622,11.543904
Europe,,1854,0,12.655594
Europe,,1855,0,12.579205
Europe,,1856,0,12.498235
Europe,,1857,0,0
Europe,,1858,0.8912916,0
Europe,,1859,4.041191,0
Europe,,1860,0,0.6453057
Europe,,1861,0,0
Europe,,1862,3.7821321,0
Europe,,1863,0,0
Europe,,1864,0,1.1671264
Europe,,1865,0,0
Europe,,1866,0,5.1473827
Europe,,1867,0,0
Europe,,1868,0,0
Europe,,1869,0,0
Europe,,1870,0,13.942929
Europe,,1871,0,13.616322
Europe,,1872,0,0
Europe,,1873,0,0
Europe,,1874,0,0
Europe,,1875,0,0
Europe,,1876,1.6485103,0
Europe,,1877,1.6354758,0
Europe,,1878,1.6225196,0
Europe,,1879,0,0
Europe,,1880,0,0
Europe,,1881,0,0
Europe,,1882,0,0
Europe,,1883,0,0
Europe,,1884,0,0
Europe,,1885,0,0.116175406
Europe,,1886,0,0.115270376
Europe,,1887,0,0
Europe,,1888,0,0
Europe,,1889,0,0
Europe,,1890,0,0
Europe,,1891,0,0
Europe,,1892,0,0
Europe,,1893,0,0
Europe,,1894,0,0
Europe,,1895,0,0
Europe,,1896,0,0
Europe,,1897,0,0.4759945
Europe,,1898,0,0
Europe,,1899,0,0
Europe,,1900,0,0
Europe,,1901,0,0
Europe,,1902,0,0
Europe,,1903,0,0
Europe,,1904,0,0
Europe,,1905,0,0
Europe,,1906,0,0
Europe,,1907,0,0
Europe,,1908,0,0
Europe,,1909,0,0
Europe,,1910,0,0
Europe,,1911,0,0
Europe,,1912,0,8.0383215
Europe,,1913,0,8.997738
Europe,,1914,0,281.7337
Europe,,1915,0,352.73697
Europe,,1916,0,348.05035
Europe,,1917,0,348.5522
Europe,,1918,31.789562,231.78201
Europe,,1919,30.129208,11.034963
Europe,,1920,27.379545,4.877814
Europe,,1921,2.1612546,4.3982058
Europe,,1922,0,2.5829122
Europe,,1923,0,0
Europe,,1924,0,0
Europe,,1925,0,0
Europe,,1926,0,0
Europe,,1927,0,0
Europe,,1928,0,0
Europe,,1929,0,0
Europe,,1930,0,0
Europe,,1931,0,0
Europe,,1932,0,0
Europe,,1933,0,0
Europe,,1934,0,0
Europe,,1935,0,0
Europe,,1936,9.448997,0
Europe,,1937,9.603065,0
Europe,,1938,9.53501,0
Europe,,1939,9.468627,29.734474
Europe,,1940,0,43.653854
Europe,,1941,0,684.7363
Europe,,1942,0,675.61694
Europe,,1943,0,687.7283
Europe,,1944,0,726.0667
Europe,,1945,0,707.5474
Europe,,1946,0,0
Europe,,1947,0,0
Europe,,1948,0,0
Europe,,1949,0,0
Europe,,1950,0,0
Europe,,1951,0,0
Europe,,1952,0,0
Europe,,1953,0,0
Europe,,1954,0,0
Europe,,1955,0,0
Europe,,1956,0,0
Europe,,1957,0,0
Europe,,1958,0,0
Europe,,1959,0,0
Europe,,1960,0,0
Europe,,1961,0,0
Europe,,1962,0,0
Europe,,1963,0,0
Europe,,1964,0,0
Europe,,1965,0,0
Europe,,1966,0,0
Europe,,1967,0,0
Europe,,1968,0,0
Europe,,1969,0,0
Europe,,1970,0,0
Europe,,1971,0,0
Europe,,1972,0,0
Europe,,1973,0,0
Europe,,1974,0.214294,0
Europe,,1975,0,0
Europe,,1976,0,0
Europe,,1977,0,0
Europe,,1978,0,0
Europe,,1979,0,0
Europe,,1980,0,0
Europe,,1981,0,0
Europe,,1982,0,0
Europe,,1983,0,0
Europe,,1984,0,0
Europe,,1985,0,0
Europe,,1986,0,0
Europe,,1987,0,0
Europe,,1988,0,0
Europe,,1989,0,0
Europe,,1990,0,0
Europe,,1991,0.2921795,0
Europe,,1992,2.2285807,0.6160648
Europe,,1993,2.4905143,0.6345277
Europe,,1994,2.4888368,0.6341003
Europe,,1995,2.177084,0
Europe,,1996,0,0
Europe,,1997,0,0
Europe,,1998,0,0
Europe,,1999,0.2042201,0
Europe,,2000,0,0
Europe,,2001,0,0
Europe,,2002,0,0
Europe,,2003,0,0
Europe,,2004,0,0
Europe,,2005,0,0
Europe,,2006,0,0
Europe,,2007,0,0
Europe,,2008,0.030316385,0
Europe,,2009,0,0
Europe,,2010,0,0
Europe,,2011,0,0
North Africa and the Middle East,,1816,0,3.8938997
North Africa and the Middle East,,1817,0,2.8596299
North Africa and the Middle East,,1818,0,2.8497257
North Africa and the Middle East,,1819,0,0
North Africa and the Middle East,,1820,0,0
North Africa and the Middle East,,1821,0,5.6988893
North Africa and the Middle East,,1822,0,5.682115
North Africa and the Middle East,,1823,0,0
North Africa and the Middle East,,1824,0,0
North Africa and the Middle East,,1825,0,0
North Africa and the Middle East,,1826,0,6.0057683
North Africa and the Middle East,,1827,0,5.9858704
North Africa and the Middle East,,1828,0,50.555103
North Africa and the Middle East,,1829,0,44.43916
North Africa and the Middle East,,1830,0,7.5260253
North Africa and the Middle East,,1831,0,0
North Africa and the Middle East,,1832,5.19708,0
North Africa and the Middle East,,1833,0,0
North Africa and the Middle East,,1834,0,0
North Africa and the Middle East,,1835,0,0
North Africa and the Middle East,,1836,0,0
North Africa and the Middle East,,1837,0,0
North Africa and the Middle East,,1838,0,0
North Africa and the Middle East,,1839,3.21791,0
North Africa and the Middle East,,1840,3.204226,0
North Africa and the Middle East,,1841,0,0
North Africa and the Middle East,,1842,0,0
North Africa and the Middle East,,1843,0,0
North Africa and the Middle East,,1844,0,2.0920115
North Africa and the Middle East,,1845,0,0
North Africa and the Middle East,,1846,0,0
North Africa and the Middle East,,1847,0,0
North Africa and the Middle East,,1848,0,0
North Africa and the Middle East,,1849,0,0
North Africa and the Middle East,,1850,0,0
North Africa and the Middle East,,1851,0,0
North Africa and the Middle East,,1852,0,0
North Africa and the Middle East,,1853,0,0
North Africa and the Middle East,,1854,0,0
North Africa and the Middle East,,1855,0,0
North Africa and the Middle East,,1856,0,1.176806
North Africa and the Middle East,,1857,0,1.1708292
North Africa and the Middle East,,1858,0,0
North Africa and the Middle East,,1859,0,6.906521
North Africa and the Middle East,,1860,0,6.8698344
North Africa and the Middle East,,1861,0,0
North Africa and the Middle East,,1862,0,0
North Africa and the Middle East,,1863,0,0
North Africa and the Middle East,,1864,0,0
North Africa and the Middle East,,1865,0,0
North Africa and the Middle East,,1866,0,0
North Africa and the Middle East,,1867,0,0
North Africa and the Middle East,,1868,0,0.9198479
North Africa and the Middle East,,1869,0,0
North Africa and the Middle East,,1870,0,1.8840965
North Africa and the Middle East,,1871,9.926909,1.8734787
North Africa and the Middle East,,1872,0,2.4551806
North Africa and the Middle East,,1873,0,0
North Africa and the Middle East,,1874,0,0
North Africa and the Middle East,,1875,0,7.4804955
North Africa and the Middle East,,1876,0,7.4383907
North Africa and the Middle East,,1877,0,27.91774
North Africa and the Middle East,,1878,0,27.7601
North Africa and the Middle East,,1879,0,0
North Africa and the Middle East,,1880,0,0
North Africa and the Middle East,,1881,0,0
North Africa and the Middle East,,1882,0,3.8288367
North Africa and the Middle East,,1883,0,0
North Africa and the Middle East,,1884,0,0
North Africa and the Middle East,,1885,0,13.3011875
North Africa and the Middle East,,1886,0,13.217775
North Africa and the Middle East,,1887,0,14.170692
North Africa and the Middle East,,1888,0,13.051941
North Africa and the Middle East,,1889,0,16.2702
North Africa and the Middle East,,1890,0,0
North Africa and the Middle East,,1891,0,0
North Africa and the Middle East,,1892,0,0
North Africa and the Middle East,,1893,0,2.8552809
North Africa and the Middle East,,1894,0,2.8326242
North Africa and the Middle East,,1895,0,9.444233
North Africa and the Middle East,,1896,0,9.36862
North Africa and the Middle East,,1897,0,0
North Africa and the Middle East,,1898,0,0
North Africa and the Middle East,,1899,0,0
North Africa and the Middle East,,1900,0,0
North Africa and the Middle East,,1901,0,0
North Africa and the Middle East,,1902,0,0
North Africa and the Middle East,,1903,0,0
North Africa and the Middle East,,1904,0,0
North Africa and the Middle East,,1905,0,0
North Africa and the Middle East,,1906,0,0
North Africa and the Middle East,,1907,0,0
North Africa and the Middle East,,1908,0,0
North Africa and the Middle East,,1909,0,3.1321037
North Africa and the Middle East,,1910,0,0
North Africa and the Middle East,,1911,0,6.4807386
North Africa and the Middle East,,1912,0,6.46386
North Africa and the Middle East,,1913,0,0
North Africa and the Middle East,,1914,0,7.8033323
North Africa and the Middle East,,1915,0,9.774111
North Africa and the Middle East,,1916,0,11.482103
North Africa and the Middle East,,1917,0,9.749155
North Africa and the Middle East,,1918,0,9.732843
North Africa and the Middle East,,1919,0,1.1788967
North Africa and the Middle East,,1920,0,2.1687603
North Africa and the Middle East,,1921,11.321572,1.1616235
North Africa and the Middle East,,1922,11.200627,0.24875888
North Africa and the Middle East,,1923,11.056839,0.24556543
North Africa and the Middle East,,1924,11.965744,0.24239533
North Africa and the Middle East,,1925,11.810402,0.23924848
North Africa and the Middle East,,1926,11.656204,0
North Africa and the Middle East,,1927,0,0
North Africa and the Middle East,,1928,0,0
North Africa and the Middle East,,1929,0,0
North Africa and the Middle East,,1930,0,0
North Africa and the Middle East,,1931,0,0
North Africa and the Middle East,,1932,0,0
North Africa and the Middle East,,1933,0,0
North Africa and the Middle East,,1934,0,2.3146558
North Africa and the Middle East,,1935,0,10.267597
North Africa and the Middle East,,1936,0,10.1232
North Africa and the Middle East,,1937,0,0
North Africa and the Middle East,,1938,0,0
North Africa and the Middle East,,1939,0,0
North Africa and the Middle East,,1940,0,12.441845
North Africa and the Middle East,,1941,0,23.476608
North Africa and the Middle East,,1942,0,20.884699
North Africa and the Middle East,,1943,0,20.548695
North Africa and the Middle East,,1944,0,0
North Africa and the Middle East,,1945,0,0
North Africa and the Middle East,,1946,0,0
North Africa and the Middle East,,1947,0,0
North Africa and the Middle East,,1948,0,2.3022027
North Africa and the Middle East,,1949,0,2.2607431
North Africa and the Middle East,,1950,0,0
North Africa and the Middle East,,1951,0,0
North Africa and the Middle East,,1952,0,0
North Africa and the Middle East,,1953,0,0
North Africa and the Middle East,,1954,0,0
North Africa and the Middle East,,1955,0,0
North Africa and the Middle East,,1956,0,0.88223225
North Africa and the Middle East,,1957,0,0
North Africa and the Middle East,,1958,0,0
North Africa and the Middle East,,1959,0,0
North Africa and the Middle East,,1960,0,0
North Africa and the Middle East,,1961,0,0
North Africa and the Middle East,,1962,6.6241994,0
North Africa and the Middle East,,1963,6.449517,0
North Africa and the Middle East,,1964,6.2784023,0
North Africa and the Middle East,,1965,6.112147,0
North Africa and the Middle East,,1966,5.9489217,0
North Africa and the Middle East,,1967,5.787478,2.7476742
North Africa and the Middle East,,1968,5.6303177,0
North Africa and the Middle East,,1969,5.4782653,0.45495686
North Africa and the Middle East,,1970,0.6093056,0.44276208
North Africa and the Middle East,,1971,0,0
North Africa and the Middle East,,1972,0,0
North Africa and the Middle East,,1973,0,5.40389
North Africa and the Middle East,,1974,0,0
North Africa and the Middle East,,1975,1.1057051,0
North Africa and the Middle East,,1976,1.2862604,0
North Africa and the Middle East,,1977,2.6988404,0
North Africa and the Middle East,,1978,2.6241744,0
North Africa and the Middle East,,1979,0,0.39287192
North Africa and the Middle East,,1980,0,9.66791
North Africa and the Middle East,,1981,0,9.362416
North Africa and the Middle East,,1982,4.5022106,10.191433
North Africa and the Middle East,,1983,4.9875603,8.785396
North Africa and the Middle East,,1984,4.841352,8.527855
North Africa and the Middle East,,1985,4.1171527,8.2859335
North Africa and the Middle East,,1986,4.0002995,8.050761
North Africa and the Middle East,,1987,3.8898256,8.6619625
North Africa and the Middle East,,1988,3.7895002,7.6265197
North Africa and the Middle East,,1989,3.6933303,0
North Africa and the Middle East,,1990,3.6019826,0.40022027
North Africa and the Middle East,,1991,3.5120585,5.6385264
North Africa and the Middle East,,1992,0,0
North Africa and the Middle East,,1993,0,0
North Africa and the Middle East,,1994,0.09425987,0
North Africa and the Middle East,,1995,0,0
North Africa and the Middle East,,1996,0,0
North Africa and the Middle East,,1997,0,0
North Africa and the Middle East,,1998,0,4.2246103
North Africa and the Middle East,,1999,0,4.1383047
North Africa and the Middle East,,2000,0,4.0526266
North Africa and the Middle East,,2001,0,0
North Africa and the Middle East,,2002,0,0
North Africa and the Middle East,,2003,0,0.8137535
North Africa and the Middle East,,2004,0,0
North Africa and the Middle East,,2005,0,0
North Africa and the Middle East,,2006,0,0.12542306
North Africa and the Middle East,,2007,0,0
North Africa and the Middle East,,2008,0,0
North Africa and the Middle East,,2009,0,0
North Africa and the Middle East,,2010,0,0
North Africa and the Middle East,,2011,1.7014655,0
Sub-Saharan Africa,,1816,0,0
Sub-Saharan Africa,,1817,0,0
Sub-Saharan Africa,,1818,0,0.44522795
Sub-Saharan Africa,,1819,0,0.44374686
Sub-Saharan Africa,,1820,0,0
Sub-Saharan Africa,,1821,0,0
Sub-Saharan Africa,,1822,0,0
Sub-Saharan Africa,,1823,0,2.0297625
Sub-Saharan Africa,,1824,0,2.0105178
Sub-Saharan Africa,,1825,0,1.9910681
Sub-Saharan Africa,,1826,0,1.9714265
Sub-Saharan Africa,,1827,0,0
Sub-Saharan Africa,,1828,0,0
Sub-Saharan Africa,,1829,0,0
Sub-Saharan Africa,,1830,0,0
Sub-Saharan Africa,,1831,0,0
Sub-Saharan Africa,,1832,0,0
Sub-Saharan Africa,,1833,0,0
Sub-Saharan Africa,,1834,0,0
Sub-Saharan Africa,,1835,0,0
Sub-Saharan Africa,,1836,0,0
